f,year,month,day,utc_time,date
2021-04-16_strip_4381174_composite.tif,2021,4,16,07:33:56,2021-04-16
2021-04-19_strip_4391606_composite.tif,2021,4,19,09:54:39,2021-04-19
2021-04-23_strip_4404828_composite.tif,2021,4,23,10:22:02,2021-04-23
2021-04-27_strip_4418488_composite.tif,2021,4,27,09:32:33,2021-04-27
2021-05-04_strip_4442197_composite.tif,2021,5,4,07:31:13,2021-05-04
2021-05-09_strip_4460127_composite.tif,2021,5,9,09:18:56,2021-05-09
2021-05-19_strip_4493721_composite.tif,2021,5,19,04:44:28,2021-05-19
2021-05-25_strip_4513901_composite.tif,2021,5,25,04:40:54,2021-05-25
2021-06-02_strip_4542459_composite.tif,2021,6,2,09:40:07,2021-06-02
2021-06-03_strip_4546261_composite.tif,2021,6,3,09:04:00,2021-06-03
2021-06-06_strip_4556587_composite.tif,2021,6,6,09:13:37,2021-06-06
2021-06-07_strip_4560599_composite.tif,2021,6,7,09:14:26,2021-06-07
2021-06-12_strip_4576898_composite.tif,2021,6,12,04:44:50,2021-06-12
2021-06-24_strip_4619672_composite.tif,2021,6,24,09:51:59,2021-06-24
2021-07-02_strip_4648444_composite.tif,2021,7,2,09:11:48,2021-07-02
2021-08-07_strip_4771945_composite.tif,2021,8,7,07:22:25,2021-08-07
2021-08-27_strip_4839382_composite.tif,2021,8,27,07:25:51,2021-08-27
2021-09-20_strip_4919376_composite.tif,2021,9,20,09:08:05,2021-09-20
2021-09-29_strip_4948932_composite.tif,2021,9,29,09:14:26,2021-09-29
2022-03-16_strip_5492208_composite.tif,2022,3,16,09:32:29,2022-03-16
2022-03-26_strip_5519904_composite.tif,2022,3,26,09:01:43,2022-03-26
2022-03-27_strip_5522519_composite.tif,2022,3,27,09:07:19,2022-03-27
2022-04-08_strip_5554920_composite.tif,2022,4,8,09:05:12,2022-04-08
2022-04-20_strip_5584513_composite.tif,2022,4,20,09:10:00,2022-04-20
2022-05-07_strip_5621550_composite.tif,2022,5,7,08:59:58,2022-05-07
2022-05-09_strip_5626451_composite.tif,2022,5,9,08:58:32,2022-05-09
2022-05-15_strip_5638119_composite.tif,2022,5,15,09:08:01,2022-05-15
2022-05-26_strip_5663422_composite.tif,2022,5,26,08:59:24,2022-05-26
2022-05-30_strip_5672647_composite.tif,2022,5,30,09:56:21,2022-05-30
2022-05-31_strip_5674959_composite.tif,2022,5,31,08:53:46,2022-05-31
2022-05-31_strip_5674961_composite.tif,2022,5,31,08:59:12,2022-05-31
2022-05-31_strip_5675314_composite.tif,2022,5,31,09:45:29,2022-05-31
2022-06-01_strip_5677003_composite.tif,2022,6,1,09:31:27,2022-06-01
2022-06-01_strip_5677244_composite.tif,2022,6,1,09:04:13,2022-06-01
2022-06-10_strip_5700634_composite.tif,2022,6,10,18:33:19,2022-06-10
2022-06-26_strip_5740773_composite.tif,2022,6,26,09:37:58,2022-06-26
